id,locationId,startDate,endDate,measuredVariable
1,4,2019-02-12 07:00:00+00,2019-02-12 07:06:21+00,1
2,1,2019-02-12 08:00:00+00,2019-02-12 08:09:05+00,1
3,10,2019-02-12 08:30:00+00,2019-02-12 08:35:12+00,1
4,1,2019-02-12 09:00:00+00,2019-02-12 09:08:03+00,1
5,5,2019-02-12 09:30:00+00,2019-02-12 09:35:00+00,1
6,1,2019-02-12 15:00:00+00,2019-02-12 15:08:03+00,1
7,4,2019-02-12 15:17:00+00,2019-02-12 15:23:21+00,1
8,10,2019-02-12 16:30:00+00,2019-02-12 16:35:12+00,1
9,1,2020-02-19 07:28:00+00,2020-02-19 07:32:02+00,1
10,6,2020-02-19 07:41:03+00,2020-02-19 07:44:48+00,1
11,7,2020-02-19 07:56:03+00,2020-02-19 07:58:35+00,1
12,2,2020-02-19 08:22:36+00,2020-02-19 08:25:48+00,1
13,8,2020-02-19 08:31:09+00,2020-02-19 08:34:14+00,1
14,3,2020-02-19 08:46:40+00,2020-02-19 08:50:51+00,1
15,9,2020-02-19 08:57:19+00,2020-02-19 09:00:27+00,1
16,4,2020-02-19 09:11:03+00,2020-02-19 09:15:02+00,1